no,filename,product,category,kind,in_stock,group,prompt
1,kamagra.jpg,Kamagra,Edible,edible,YES,A-missing,"Kamagra, a cannabis edible, on a small dark slate plate with a few pieces arranged so the texture reads clearly. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
2,alienmint.jpg,Alien Mint,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Alien Mint, a hybrid — pale sage and mint-green leaves, soft cream-coloured pistils, a dusty even frost. The flower reads as mint, chocolate, nutty. Dense and top-shelf, the sort of bud sold at 26-30% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
3,babycake.jpg,Baby Cakes,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Baby Cakes, a hybrid — golden-green and lime leaves, vivid amber-orange pistils, a bright sugary coat of trichomes. The flower reads as vanilla, sweet, citrus. Dense and top-shelf, the sort of bud sold at 28-29% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
4,blackcherry.jpg,Black Cherry,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Black Cherry, a hybrid — deep purple and violet leaves shot through with dark green, bright orange pistils, heavy white trichome frost. The flower reads as berry, apricot, pear. Dense and top-shelf, the sort of bud sold at 19-23% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
5,bluenerd.jpg,Blue Nerdz,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Blue Nerdz, a hybrid — deep purple and violet leaves shot through with dark green, bright orange pistils, heavy white trichome frost. The flower reads as blueberry, apple, apricot. Dense and top-shelf, the sort of bud sold at 22-26% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
6,cookiemonster.jpg,Cookie Monster,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Cookie Monster, a indica — pale sage and mint-green leaves, soft cream-coloured pistils, a dusty even frost. The flower reads as sweet, butter, pine. Dense and top-shelf, the sort of bud sold at 15-19% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
7,crunchberrie.jpg,Crunch Berries,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Crunch Berries, a hybrid — deep purple and violet leaves shot through with dark green, bright orange pistils, heavy white trichome frost. The flower reads as berry, apricot, blueberry. Dense and top-shelf, the sort of bud sold at 18-22% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
8,dlish.jpg,D-Lish,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain D-Lish, a hybrid — golden-green and lime leaves, vivid amber-orange pistils, a bright sugary coat of trichomes. The flower reads as diesel, tropical, earthy. Dense and top-shelf, the sort of bud sold at 24-30% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
9,gelatox.jpg,Gelato X,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Gelato X, a indica-dominant hybrid — pale sage and mint-green leaves, soft cream-coloured pistils, a dusty even frost. The flower reads as vanilla, mint, nutty. Dense and top-shelf, the sort of bud sold at 25-27% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
10,giraffpuzzy.jpg,Giraffe Puzzy,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Giraffe Puzzy, a hybrid — dense dark forest-green leaves, rust-orange pistils, a thick greasy layer of trichomes. The flower reads as butter, apricot, diesel. Dense and top-shelf, the sort of bud sold at 30% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
11,kingcherry.jpg,King Cherry,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain King Cherry, a indica-dominant hybrid — deep purple and violet leaves shot through with dark green, bright orange pistils, heavy white trichome frost. The flower reads as cherry, sweet, berry. Dense and top-shelf, the sort of bud sold at 19% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
12,lcgrx11.jpg,LCG RX11,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain LCG RX11, a hybrid — deep purple and violet leaves shot through with dark green, bright orange pistils, heavy white trichome frost. The flower reads as citrus, berry, peach. Dense and top-shelf, the sort of bud sold at 20-24% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
13,lemoncherrygelato.jpg,Lemon Cherry Gelato,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Lemon Cherry Gelato, a hybrid — deep purple and violet leaves shot through with dark green, bright orange pistils, heavy white trichome frost. The flower reads as lemon, citrus, berry. Dense and top-shelf, the sort of bud sold at 20% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
14,mac1.jpg,Mac 1,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Mac 1, a hybrid — golden-green and lime leaves, vivid amber-orange pistils, a bright sugary coat of trichomes. The flower reads as butter, citrus, ammonia. Dense and top-shelf, the sort of bud sold at 22% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
15,mellowz.jpg,Mellowz,Flower,flower,,B-replace-card,"One premium cured cannabis flower bud of the strain Mellowz, a indica-dominant hybrid — deep purple and violet leaves shot through with dark green, bright orange pistils, heavy white trichome frost. The flower reads as butter, vanilla, sweet. Dense and top-shelf, the sort of bud sold at 25-29% THC. Macro product shot, the trichomes and pistils sharp in the centre of the bud, the back of the nugget falling gently out of focus. Nothing else in the frame — no jar, no tray, no scattered leaf. Shoot it like a premium dispensary product photograph: the subject centred on a matte charcoal-black surface, a single soft light from the upper left, a faint green rim light along one edge, deep shadows, shallow depth of field, the subject filling the frame. Square 1:1. Photorealistic. No text, no lettering, no logos, no packaging branding, no hands, no people, no watermark."
